Word,Usage Number,Green's Notes,Ambidextrous?,Farmer & Henley?,First Date,Last Date,Years Used,First Date As Person
Master John Goodfellow,4,"[generic use of John + SE goodfellow, a jovial companion; John Thursday was a 17C musician and dancing master, the supposed inventor of a dance known as the ‘Hussarde’]",N,Y,1653,1904,251,
master member,1,[member n.1 ],N,Y,1890,1890,0,
master of ceremonies,1,,N,Y,1890,1890,0,
match,1,[abbr. matchbox n. (1)],N,N,1639,1639,0,
matrimonial peacemaker,9,[peacemaker under peace n.],N,Y,1708,1890,182,
maypole,6,[the shape],N,N,1621,1866,245,
meat,14,,Y,Y,1564,1917,353,
meat skewer,2,,N,Y,1890,1904,14,
meeler,1,,N,N,1870,1870,0,
member,23,"[prior use is SE, Lat. membrum virile, ‘the virile member’, i.e. the penis]",N,N,1522,2023,501,
member for cockshire,1,[puns on SE member and Cock(shire)/cock n.3 (1)],N,Y,1890,1890,0,
membretoon,1,,N,N,1653,1653,0,
merry-maker,2,,N,Y,1890,1896,6,
middle leg,5,,N,N,1660,1975,315,
milkman,1,,N,Y,1890,1997,107,
millstones,1,the testicles.,N,N,1834,1834,0,
mole,2,1. the penis [the animal and the penis ‘burrow in’].,N,Y,1850,1890,40,
mouldiworp,3,"[dial. mouldiwarp, a mole, lit. ‘earth-digger’/’earth-thrower’]",N,Y,1850,1896,46,
mouse,3,2. the penis [its penetration of narrow spaces; note dial. mouldiwarp].,Y,Y,1834,1890,56,
Mr P.,1,,N,N,1836,1836,0,
Mr Peaslin,3,[the initial letter p of penis + SE in],N,N,1866,1898,32,
Mr. Horner,1,2. the penis [the object that does the cuckolding but note also horn n.2 (1a)].,N,N,1896,1896,0,
muscle,2,"7. (US, also muscle missile) the penis [abbr. love muscle under love n.].",N,N,1810,1830,20,
musket,2,[note mid-17C musket and bandeliers n.],N,N,1834,1837,3,
musket and bandeliers,1,[appearance],N,N,1663,1663,0,
mutton,2,,Y,N,1608,1837,229,
nab,1,"[ety. unknown; ? link to dial. nab, a projecting lump of rock, a promontory]",N,N,1612,1612,0,
nag,8,"[fig. uses of SE nag, a saddle horse, thus play on ride v. (1)] / ... / 2. the penis; thus running nag, a venereally diseased (gonorrhoea) penis, that discharges pus.",N,Y,1598,1890,292,
nail,2,,N,N,1779,1888,109,
Naples biscuit and (a pair of) Macaroons,2,the penis and testicles.,N,N,1654,1654,0,
nature,2,1. the penis; semen.,N,N,1704,1835,131,
nature's scythe,1,,N,Y,1890,1890,0,
nebuchadnezzar,1,"[Nebuchadnezzar II, (c.630–c.562 BC) King of Babylon; play on greens n.1 and the King’s madness, during which period he ate grass]",N,Y,1890,1890,0,
needle,12,"1. (later use US) the penis; cits. 1606, 1720, 1793 are double entendres.",N,N,1606,1896,290,
nick-nack,1,"[SE nick-nack, a curious or pleasing trifle, a trinket] / 1. in pl., the testicles.",Y,Y,1890,1890,0,
nimble-wimble,1,"[SE nimble + wimble, a gimlet, an auger]",N,N,1653,1653,0,
nimrod,1,"[biblical proper name Nimrod, the ‘mighty hunter’ of Gen. ]",N,Y,1890,1890,0,
nine-inch knocker,1,,N,N,1696,1696,0,
ninepin,1,,N,N,1780,1780,0,
nippy,1,[? pee n.1 ],N,Y,1890,1890,0,
nob,2,7. the penis [var. of knob n. (1c)].,N,N,1834,1984,150,
nut,7,(a) (also top nut) the head of the penis.,N,N,1538,1900,362,
nutmegs,1,[predates nuts n.2 (1)],N,N,1700,1999,299,
nuts,4,"[SE nut, i.e. the shape; Partridge suggests nut n.1 (1a)] / 1. the testicles; cit. a.1704 is a double entendre.",Y,N,1704,1999,295,
oboe,1,,N,N,1787,1787,0,
old adam,1,"[SE old Adam, original sin]",N,Y,1890,1998,108,
old boy,1,,N,N,1833,2005,172,
old hornie,1,,N,Y,1890,2012,122,
old man,3,,N,Y,1732,1971,239,
old man has his Sunday clothes on,1,"[freshly laundered Sunday clothes were stiff with starch] / a phr. used of the penis, when erect.",N,Y,1890,1890,0,
ole rowley,1,"[SE Old Rowley, the Devil, or rowley, alternative sp. for SE rolly, thus the shape/SE slimey, of the semen it ejaculates]",N,Y,1653,1890,237,
one,2,,N,N,1888,1963,75,
one-eyed sportsman,1,,N,N,1793,1793,0,
onion,1,"1. from the shape. / (a) (mid-17C, 1930s+, also bunion) in pl. the testicles.",N,N,1661,2000,339,
oyster,1,,Y,N,1762,1762,0,
P—,4,,N,N,1660,1660,0,
partner,1,,N,Y,1890,1890,0,
peacemaker,2,,N,Y,1733,1890,157,
pebble,1,"[the hardness of the SE pebble] / 1. in pl., the testicles [play on stone n.1 (1)].",N,N,1620,1620,0,
pecker,1,"[SE pecker, that which pecks, i.e. a beak, a bill] / ... / 2. (orig. US, also peck) the penis; a generic term for sex.",N,N,1864,2013,149,
pecnoster,2,"[pecker n.2 (2) + pun on SE paternoster, our father]",N,Y,1890,1896,6,
pee-wee,1,"[orig. dial. pee-wee, diminutive, tiny] / 1. the penis, usu. of a small boy [pee-wee v.].",N,Y,1890,1890,0,
peg,10,,N,N,1653,1888,235,
pego,18,"[? Gk pege, spring or fountain; this ‘classical’ aspect made the term esp. popular in 19C pornography]",N,N,1660,1901,241,
pelting-irons,2,"[SE pelt, to throw hard, i.e. the aggressive image of intercourse] / the testicles.",N,N,1660,1661,1,
pen,16,1. the penis [resemblance].,Y,N,1550,1986,436,
pendulum,1,[it ‘swings’],N,Y,1890,1890,0,
penis,2,,N,N,1780,2023,243,
periwinkle,1,[the supposed resemblance to the shellfish] / ... / 2. a small penis.,Y,N,1837,1837,0,
persuader,1,,N,N,1888,1888,0,
pestle,11,"[often in double entendres] / 1. the penis; thus burning pestle, the penis when suffering from venereal disease.",N,Y,1598,1896,298,
phoenix,1,[it ‘rises’],N,N,1655,1655,0,
picklock,6,[play on lock n.1 (1a)],N,Y,1625,1890,265,
piece,3,,Y,N,1787,2007,220,
piercer,1,,N,N,1653,1653,0,
pigtail,1,,N,N,1865,1865,0,
pike,9,"[SE pike, a pointed weapon]",N,Y,1573,1890,317,
pikestaff,3,,N,Y,1691,1896,205,
pile-driver,1,[play on SE piledriver],N,Y,1890,2000,110,
pilgrim's staff,1,,N,Y,1890,1890,0,
pill,1,"(b) in pl., the testicles.",N,N,1678,1999,321,
pillicock,10,"[northern dial.; ult. Norwegian dial. pill, the penis + cock n.3 (1)]",N,Y,1598,1904,306,
pin,16,,N,Y,1540,1940,400,
pintle,22,"[OE pintel, the penis]",N,N,1578,1900,322,
pioneer (of nature),2,,N,Y,1653,1890,237,
pipe,19,"2. with ref. to the pipe’s tubular shape [the double entendres cover tobacco pipes, bag-pipes and water pipes].",Y,N,1607,2004,397,
pissing place,2,,N,N,1607,1672,65,
pistol,,"1. the penis; also occas. the vagina [thus Shakespeare’s double pun ‘Pistol’s cock is up’ (Henry V, 1599)].",,,,,0,
piston,2,,N,N,1886,1900,14,
placket-racket,3,"[SE racket, an implement for hitting balls]",N,Y,1653,1890,237,
pleasure-pivot,1,,N,N,1748,1748,0,
plough,12,,N,N,1580,1793,213,
ploughshare,3,[plough v. (1)],N,Y,1788,1896,108,
plug-tail,8,[SE plug + tail n. (2)],N,Y,1701,1890,189,
plum ,5,"[resemblance] / in pl., the testicles; thus long plum, the penis.",N,N,1613,2000,387,
plum tree shaker,1,,N,N,1611,1611,0,
pocket,1,1. the scrotum.,N,N,1450,1450,0,
pointer,5,,N,Y,1763,1890,127,
poker,7,,N,N,1793,1950,157,
poking stick,1,[double entendre; a SE poking stick was used to iron a ruff],N,N,1610,1610,0,
pole,15,,N,N,1607,2012,405,
poll axe,1,[pun on SE poleaxe/poll n.2 (though antedating)],N,N,1595,1595,0,
polony,1,[Ital. Bologna sausage],N,N,1833,1833,0,
poperin pear,4,"[Poperinghe, in west Flanders. The word comes in Shakespeare’s Romeo and Juliet (1594), that repository of so much innuendo. ‘O, that she were / An open et-caetera / Thou a poperin pear!’ says Mercutio to Romeo. Partridge, in Shakespeare’s Bawdy (1947), suggests a pun on ‘pop her in’; Nares, Glossary (1822), complains that ‘it seems that there is much attempt at wit on this pear, in some old dramas; but such as it is not worthwhile to repeat, or attempt explaining’]",N,Y,1595,1896,301,
pork,1,,N,N,1835,2000,165,
potato-finger,3,[the shape + the supposed aphrodisiac quality of the sweet potato],N,N,1602,1629,27,
pounder,2,"1. in pl., the testicles [? their knocking together].",N,N,1690,1696,6,
pouting stick,1,,N,N,1653,1653,0,
pretty rogue,1,,N,N,1653,1653,0,
prick,32,"[SE prick, a pointed weapon or implement. Although the OED, with its first citation in 1592, labels it unequivocally as ‘coarse slang’, Partridge suggests that prick was SE before becoming taboo c.1700. The OED’s citation – ‘The pissing Boye lift up his pricke’ (‘R.D.’, Hypnerotomachia) – may appear coarse to modern ears, but it should be noted that piss, certainly, was still SE at the time. In 1540, prick denoted ‘a pert, forward, saucy boy or youth; a conceited young fellow’, thus sense 2. The term is defined as ‘humorous or contemptuous’, but not indecent; it might have referred simply to the lad’s ‘sharpness’. That said, a sexual interpretation is possible, esp. given the synon. princock (lit. ‘prime cock’) alongside which it appears in cit. 1598]",N,N,1556,2023,467,
prick-pride,2,,N,Y,1708,1890,182,
private,9,,Y,Y,1465,1987,522,
prong,3,"1. the penis, esp. when erect.",N,N,1779,1983,204,
pudding,14,"[SE pudding, guts, entrails]",Y,Y,1546,1890,344,
pump,3,,Y,N,1645,1970,325,
pump-handle,3,,N,N,1730,1790,60,
puppy,2,"2. the penis [play on SE, but note dog n.2 (3)].",N,N,1709,1725,16,
purse,10,[var. on bag n.1 (1) ] / 1. the scrotum.,N,N,1386,1956,570,
pusher,1,,N,N,1653,1653,0,
quickset imp,1,,N,N,1653,1653,0,
quill,3,,N,N,1620,1834,214,
quimstake,4,,N,Y,1890,1937,47,
radish,1,,N,Y,1890,1890,0,
ram,2,[animal imagery],N,N,1620,1707,87,
rammer,6,,N,N,1680,1897,217,
ramrod,5,"[fig. use SE ramrod, ‘a rod used for ramming down the charge of a muzzle-loading fire-arm’ (OED)]",N,N,1836,2014,178,
ranger,3,"[SE ranger, a wanderer; earlier uses + range v.]",N,Y,1684,1890,206,
raw meat,3,the penis [meat n. (2)/sausage n. (3)].,N,N,1700,1833,133,
rector of the females,2,"[SE rector, ruler + ? pun on erection]",N,N,1674,1896,222,
robin,5,1. the penis [20C+ use is US; note robin is the pet name for a servant’s penis in the late 19C pornographic classic The Modern Eveline (the heroine’s incestuous brother is named Percy)].,N,Y,1661,1890,229,
rocks,2,"8. the testicles [play on stone n.1 (1); cit. 1691 is double entendre, the ‘present’ of the title is the penis].",N,N,1661,1999,338,
rod,8,,N,N,1591,2005,414,
roger,21,[generic use of human name],N,Y,1653,1890,237,
roll,2,,N,N,1833,1879,46,
rolling-pin,7,,N,Y,1617,1900,283,
Roman candle,1,,N,N,1837,1837,0,
root,16,,N,Y,1533,2008,475,
rope,1,,N,N,1850,1850,0,
roundhead,1,"2. (usu. teen) a circumcised penis; thus the boy or man who has one [the antonym of cavalier n.; 17C cites, with no ref. to circumcision, pun on contemporary roundhead / cavalier divisions].",N,N,1658,1996,338,
rubigo,1,"[? Lat. ruber, red]",N,Y,1890,1890,0,
rudder,6,,N,Y,1611,1890,279,
rule of three,3,"[SE rule + three, i.e. the penis and testicles; note Williams: ‘This alludes to the golden rule whereby a fourth number is deduced from a given three numbers’]",N,N,1720,1840,120,
rump-splitter,1,,N,N,1653,1653,0,
sausage,7,,N,N,1653,2014,361,
sceptre,7,"[joc. resemblance] / 1. the penis; thus sceptre and jewels n., the male genitals.",N,Y,1661,1977,316,
sceptre,7,"[joc. resemblance] / 1. the penis; thus sceptre and jewels n., the male genitals.",N,Y,1661,1977,316,
sconce,1,"[either SE sconce, a lantern or sconce, a fort or earthwork]",N,N,1797,1797,0,
scraper,1,,N,N,1800,1800,0,
scut,1,,Y,N,1702,1702,0,
seal,1,[coined by John Donne (1572–1631)],Y,N,1631,1631,0,
sensitive plant,7,,N,Y,1748,1890,142,
sex,1,,Y,N,1890,1890,0,
shabroon,1,,N,N,1707,1707,0,
shaft,7,"(a) (also prickshaft) the penis [note blaxploitation films of the 1970s, starring macho private eye ‘John Shaft’].",N,N,1611,1904,293,
shaft of delight,1,,N,N,1772,1772,0,
sharps,1,"[the erect penis is ‘sharp’, the vagina ‘flat’]",N,N,1693,1693,0,
shill,1,"[abbr. Irish shillelagh, cudgel + links of the Irish and the police]",N,N,1838,1838,0,
shillelagh,1,,N,N,1790,1790,0,
shove-devil,1,[? the trad. joke whereby a monk seduces a virgin by explaining the necessity of ‘shoving the devil back into hell’],N,N,1653,1653,0,
shove-straight,1,,N,Y,1890,1896,6,
shrimp,1,(b) (US gay) a small penis.,N,N,1899,1899,0,
shuttle,4,[euph.; the weaver’s shuttle goes backwards and forwards/in and out],N,N,1678,1821,143,
silent flute,7,,N,N,1720,1988,268,
Sir Martin Wagstaffe,2,[play on SE wag + staff of love under staff n.],N,Y,1653,1890,237,
sky-scraper,1,"[18C naut. jargon sky-scraper, a triangular sky-sail, the highest sail on a boat. Such sails were also known as moon-rakers. The orig. US use of the term to mean a tall building, began life as sl. (c.1888; cited as such in Maitland’s American Slang Dict., 1891) but had entered the mainstream by 1920; note NY Times 18 Aug. 1837 2/7: [Balloon flights are] so common a business that the people call it nothing more than ‘skylarking’, or ‘sky scraping’; also 1880s baseball jargon skyscraper, a ‘towering fly ball’]",N,Y,1890,1890,0,
slaughtering-knife,1,,N,N,1719,1719,0,
sluice,1,"[SE sluice: (1) a channel; a gap, a hole, a gash; (2) a valve for regulating the flow of water; (3) to pour something through a sluice]",Y,N,1673,1673,0,
smell-smock,1,[smock n.1 ],N,N,1653,1653,0,
snapper,2,[image of penis as aggressor],N,Y,1864,1890,26,
snotty nose,1,"[ IN DEFINING SNOT ] 4. semen; thus snotty-nosed adj., of the head of the penis, covered with semen.",N,N,1709,1709,0,
snout,2,"[SE snout, nose; the person gets ‘up one’s nose’] / 1. the (head of the) penis.",N,N,1790,1834,44,
solicitor general,2,[SAmE; a pun on SE solicit],N,Y,1890,1896,6,
something,,,,,,,0,
spicket,1,"[SE spicket, a spigot, a tap]",N,N,1719,1719,0,
spigot,,,,,,,0,
spike,3,1. the erect penis.,N,Y,1842,1900,58,
spike-faggot,1,[faggot n.3 ],N,Y,1890,1890,0,
spindle,8,,N,Y,1533,1890,357,
split mutton,2,[SE split + mutton n. (1c)],Y,Y,1708,1890,182,
spout,4,[SE spout] / ... / 2. the penis; 1759–67 cit. has double meaning.,Y,N,1759,1959,200,
spouter,1,,N,N,1888,1888,0,
spur,1,,N,N,1835,1835,0,
St Peter,1,[he ‘keeps the keys of Paradise’],N,Y,1890,1890,0,
staff,12,,N,N,1654,1904,250,
staff of life,4,"[punning on SE staff of life, bread or any other staple]",N,N,1836,1904,68,
staff of love,2,,N,N,1653,1748,95,
stalk,5,,N,N,1607,1977,370,
stallion,2,,N,N,1763,1889,126,
standing ware,1,"[stand v.1 + SE ware, goods] / ... / the erect penis.",N,N,1705,1705,0,
sternpost,1,[naut. imagery],N,Y,1890,1890,0,
stick,9,"1. pertaining to the shape. / (a) the penis; thus (US gay) bent stick, dead stick, an impotent penis.",N,N,1680,1958,278,
stiff and stout,2,,N,N,1653,1793,140,
stiff and stout,1,,N,N,1653,1653,0,
stiff deity,1,,N,N,1696,1696,0,
stiff stander,2,an erection; the erect penis; thus stiff-standing adj.,N,N,1650,1888,238,
sting,4,"1. the penis, esp. in the context of impotence.",N,N,1623,1719,96,
stopper,1,,N,N,1850,1850,0,
stopple,1,,N,N,1653,1653,0,
stretcher,2,,N,N,1748,1888,140,
stroke,1,"[stroke v.1 (1)/SE stroke, a caress; note late 19C+ use of stroke as a thrust in intercourse, based on SE stroke, a blow]",N,N,1832,1832,0,
stroker,1,"[ DEFINING STROKE ] 1. to have sexual intercourse; thus stroker, n., the penis or the copulating male, stroking n., sexual intercourse; strokability n., sexual potential.",N,N,1892,1892,0,
strummer,1,,N,N,1833,1833,0,
stump,6,"1. (also stumpie) the penis; thus as v., to enter, to have intercourse.",N,Y,1613,1890,277,
sucker,1,,Y,Y,1890,1890,0,
sugar-stick,11,,N,N,1653,1988,335,
sugarcane,1,,N,N,1748,1748,0,
sweetmeat,1,"[SE sweet + meat n. (1)/SE sweetmeat, which is ‘good enough to eat’] / ... / 3. the penis [SE sweet + meat n. (2) + pun; 1970s+ use is US gay].",N,Y,1890,1890,0,
sword,10,"[note D’Urfey, Pills to Purge Melancholy (1719): ‘Brave Carpet Knights in Cupid’s Fights, their milk-white Rapiers drew’]",N,N,1595,1892,297,
tackle,11,"[SE tackle, equipment, appliances etc.]",N,Y,1533,2016,483,
tail,26,,Y,Y,1533,2009,476,
tail tree,2,,N,Y,1768,1890,122,
tallywag,5,[tallywags n.],N,Y,1865,1890,25,
tallywags,7,"[? SE tally, a notched stick or tail n. (3)] / the testicles; the male genitals.",N,N,1721,1811,90,
tantrum,1,"[northern dial. tantril, a wanderer]",N,N,1675,1675,0,
teaser,1,"[boxing jargon teaser, a tricky opponent, hard to beat]",N,N,1881,1881,0,
tenant in tail,4,"[tenant in tail, a tenancy held under certain specific limitations + note tail n. (3)] / ... / 2. the penis; thus a male lover, e.g. cite 1707.",N,Y,1692,1890,198,
tenpenny,1,,N,N,1892,1892,0,
tent peg,2,"[the shape, but note the Biblical story of Jael and Sisera, i.e. the penis as a weapon (cf. axe n. (2))]",N,Y,1890,1896,6,
that,1,[euph.],N,Y,1890,1890,0,
thing,27,,Y,N,1600,2020,420,
thingumabobs,5,[euph. use of thingumabob n.],N,N,1785,1823,38,
thingummies,5,[euph.],N,N,1785,1823,38,
thingummy,1,"1. any nameless object, or person, or situation. / ... / 2. the penis [euph. use of sense 1].",N,Y,1890,1890,0,
thomas,2,[abbr. John Thomas n.],N,N,1785,1836,51,
three square,2,,N,N,1841,1842,1,
thumb of love,1,,N,Y,1890,1890,0,
tickle-gizzard,2,[it tickles the woman’s gizzard n. (1)],N,N,1653,1896,243,
tickle-tail,2,[SE tickle] / ... / 4. the penis [tail n. (2)].,N,N,1811,1823,12,
tickle-toby,1,[toby n.1 ],Y,Y,1890,1890,0,
timothy-tool,1,[tool n.1 (1a)],N,Y,1890,1890,0,
tit-bit,1,,Y,N,1653,1653,0,
toad,1,3. the penis [pun on SE toad in the hole/hole n.1 (1b)].,N,N,1841,1841,0,
tom,2,,N,N,1870,1896,26,
tool,28,1. as a lit. or fig. bodily organ (primarily the penis) [sense 1c from sense 1a on model of prick n. (3)].,Y,N,1553,2019,466,
torch,1,,N,N,1884,1884,0,
tosser,2,[toss (off) v.] / 1. a (large) penis.,N,N,1879,1881,2,
touch-box,1,"[SE touch-box, a box that held priming or ‘touching’ powder; part of the musketeer‘s equipment] / the testicles.",N,N,1600,1600,0,
touch-trap,3,"[SE touch-trap, a contrivance that operates when touched]",N,Y,1653,1904,251,
touch-tripe,1,,N,N,1696,1696,0,
toy,6,,Y,N,1599,1896,297,
trapstick,6,"[SE trapstick, a stick used in the game of trap or trap-ball] / 1. the penis; thus well-trapped adj., well-endowed.",N,N,1654,1772,118,
tray,2,"[Ital. tre, three] / ... / 2. the male genitals, i.e. one penis plus two testicles.",N,N,1840,1840,0,
treasure,2,,Y,N,1707,1835,128,
tree,1,[the characteristics of a tree] / ... / 2. the penis [abbr. tail tree under tail n.].,N,N,1834,1834,0,
trifle,2,[euph.],N,Y,1890,1896,6,
trigger,1,[on model of gun n.1 (2)],N,N,1832,1832,0,
trinkets,2,1. the male genitals [note trinket n. (2)].,N,N,1629,1630,1,
trouble-giblets,2,,N,Y,1890,1896,6,
trouble-gusset,1,,N,N,1653,1653,0,
truncheon,9,[cit. 1834 is a deliberate double entendre],N,N,1700,1892,192,
tube,5,[SE tube],N,N,1786,1892,106,
tug-mutton,3,[mutton n. (1a)/mutton n. (3)],N,Y,1890,1904,14,
tulilp,1,,Y,N,1842,1842,0,
tumblers,2,[cf. bangers n.] / the testicles.,N,N,1594,1661,67,
turnip,2,,N,N,1659,1837,178,
twanger,4,"[fig. uses of SE twang, to reverberate]",N,Y,1598,1890,292,
twelve inches,2,a (large) penis.,N,N,1763,2004,241,
twiddle-diddles,5,"[SE twiddle, to play with + redup.] / the testicles.",N,N,1786,1823,37,
twist,1,1. the penis [a ‘twist’ of flesh].,N,N,1672,1672,0,
unruly member,5,"[play on usu. sense of tongue, from General Epistle of James, 3:5–8: ‘Even so the tongue is a little member [...] But the tongue can no man tame; it is an unruly evil, full of deadly poison’]",N,Y,1683,1896,213,
vestryman,2,[vestry n.],N,Y,1890,1896,6,
wand,9,the penis; cit. 1656 is double entendre.,N,Y,1600,1890,290,
ware,7,"[SE ware, goods on sale, thus the commercial potential of sex]",Y,Y,1683,1890,207,
watch (chain) and seals,2,,N,Y,1781,1890,109,
water-bottle,1,1. the penis [its urinary function].,N,N,1650,1650,0,
weapon,23,"[first cited in an 11C glossary and in Langland’s Piers Plowman (1377), ‘While thou art young and thy weapon keen ...’. It was used more widely from the mid-18C]",N,N,1597,1993,396,
wedding tackle,1,[SE wedding + tackle n.1 (1)],N,N,1696,1984,288,
wedge,8,1. the penis [it wedges open the vagina]; thus v. of a man to have sexual intercourse (see cite c.1850).,N,Y,1720,1890,170,
what's its name,2,[euph.],Y,N,1896,1902,6,
whim-wham,3,"[SE whim-wham, a trifle, a trinket]",Y,N,1604,1841,237,
whirligigs,6,"[SE whirligig, a variety of toy that is whirled or spun around] / the testicles.",N,N,1698,1823,125,
white-staff,1,"[SE white staff, ‘a white rod or wand carried as a symbol of office by certain officials, e.g. the steward of the king’s household and the lord high treasurer’ OED]",N,N,1748,1748,0,
whopper,2,[fig. use of whop v. (1)] / ... / 5. a large or erect penis.,N,N,1838,1963,125,
whore-pipe,5,[pipe n.1 (2a)],N,Y,1670,1890,220,
wick,2,,N,N,1837,1864,27,
wife's best friend,1,,N,N,1884,2014,130,
willy,1,,N,N,1817,1817,0,
wimble,11,"[SE wimble, a gimlet, an instrument for boring into soft ground; cit. 1719 is double entendre]",N,Y,1653,1904,251,
winkle,1,(usu. UK juv.) the penis.,N,Y,1890,1989,99,
worm,7,,N,Y,1593,2006,413,
wriggling pole,2,[pole n.; cit. 1720 is double entendre],N,N,1719,1720,1,
yard,33,"[prior use SE f. late 14C; Old Teutonic gazdjo, a thin pole + ? link to Lat. hasta, a spear + Ital. cazzo, penis; note double entendre in D’Urfey, Pills to Purge Melancholy (1719): ‘A fine dapper Taylor, with a Yard in his hand, / Did profer his Service to be at Command’]",N,N,1598,1904,306,
you know what,5,,Y,N,1653,1833,180,
you know where,,"1. a euph. depending on context; if sexual, ref. to the vagina or penis; if hostile, the anus or the testicles.",,,,,0,
staff of manhood,1,,N,N,1897,1897,0,
trunk,1,,N,N,1897,1897,0,
spade,1,,N,N,1835,1835,0,
spear of love,1,,N,N,1835,1835,0,
dart,1,,N,N,1835,1835,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
