Word,Date,Notes Citation,Green Citation,Citation
dagger,1650,,Le Strange Merry Passages and Jeasts No. 560 150,"For sure the Dagger’s in the Sheath, when the Children are gotten."
ballocks,1650,,Le Strange Merry Passages and Jeasts No. 487 134,"He is such an Insatiable wenching knave, that if his Ballocks were made of Brasse Hee’d Breake them."
water-bottle,1650,,Le Strange Merry Passages and Jeasts No. 125 46,"He resolvd, having a winter boote on with an huge large toppe, to force his instrument downward and discharge all into that. [She] in the midst of his careere, catching him suddainly by the Arme [...] with that, his water-bottle spring up, and all besprinkled the table and the opposite company, to the excessive laughter of all."
instrument,1650,,Le Strange Merry Passages and Jeasts No. 114 43,"He profered him the kindnesse to gett his wife with child for him, but to draw him and tempt him on, [...] would laye a cheese with him that would make his Instrument come out at her Backe."
tallywags,1733,,Laugh and Be Fat 5,I would not lose my Tarriwags for the best Dinner in Christendom.
peacemaker,1733,,Laugh and Be Fat 27,"He had more Wit in his Anger, than to revenge himself of an ill Tongue, by burning his Peace-maker. [Ibid.] 81: Then tumbled into Bed, where all past Differences were reconcil’d by the matrimonial Peace-Maker."
matrimonial peacemaker,1733,,Laugh and Be Fat 27,"He had more Wit in his Anger, than to revenge himself of an ill Tongue, by burning his Peace-maker. [Ibid.] 81: Then tumbled into Bed, where all past Differences were reconcil’d by the matrimonial Peace-Maker."
pego,1733,,Laugh and Be Fat 26,"Beholding with sorrowful Eyes, the little Spectacle in he Fire [...] as if it had really been poor Pego."
doolittle,1733,,Laugh and Be Fat 26,"The frightened Wife [...] made a lamentable Out-cry among the Neighbourhood, That her Husband had murder’d himself by cutting off his Doolittle."
jewel,1733,,Laugh and Be Fat 24,"When she was fast locked in the Embraces of her new Bedfellow [she] to ask him what was become of those delicate rich Stones [...] My Dear, replied the Bridegroom, here they are at your Service, upon my word they are the individual Jewels my Uncle bid me thirty thousand pounds for."
plug-tail,1733,,Laugh and Be Fat 20,"Lug out your Smock-smelling Plugtail, that I may see your Condition."
pump,1733,,Laugh and Be Fat 15,"You put up the Pump for your own Pleasure, and carry’d it away with you when you left the Tenement."
nutmegs,1732,,Ladies Delight 4,In the Nutmegs lies the Breed.
inch,1732,,Ladies Delight 3,Six Inches good and fit for Use [...] And oft’ does nine full Inches ride.
stalk,1732,,Ladies Delight 2,From this erect springs up the Stalk.
bags,1732,,Ladies Delight 2,"Ours has Nutmegs fit for Toasts, / And Bags by Nature planted grow."
arbor vitae,1732,,Ladies Delight 16,The Vulvaria itself being indeed no other than a female Arbor Vitae.
root,1732,,Ladies Delight 1,A Tuft of Moss keeps warm the Root.
billiard ball,1660,,Ladies Champion 4,"Off goes thy stones as sure as a gun or a club to make Billjard balls on, and thy yard their Billjard-stick to play at their portalls."
tool,1637,,L. Carlell Fool would be a Favourite 7,‘Every trades man will preserve his tools.’ ‘Or else his wife will Chide him when he comes home.’.
blade,1611,,L. Barry Ram-Alley V i,"Giue me that lustie lad, That wins his widdow with his well-drawne blade."
prick,1611,,L. Barry Ram-Alley IV i,"Bloud dost thinke I haue not learnt my prick-song, What not the coutt prick-song? One vp and another downe."
pike,1611,,L. Barry Ram-Alley III i,"Haue I not plac’d [...] My Cannons, Demi-cannons, Basilisks, Vpon her breach, and do I not stand, Ready with my Pike to make my entry."
member,1609,,Jonson Silent Woman I i,"When wee come to haue gray hair, and weake hammes, moist eyes, and shrunke members."
culls,1637,,Jonson n.p.,"Claw a churl by the culls, and he’ll shite in your fist [F&H]."
engine,1616,,Jonson Devil is an Ass II i,It creaks his engine.
fiddlestick,1614,,Jonson Bartholomew Fair in Works (1843) 338,My Fiddle-stick does fiddle in and out too much.
ferret,1614,,Jonson Bartholomew Fair II iv,"Hear for your love, and buy for your money! / A delicate ballad o’ ‘The Ferret and the Coney’."
inch,1614,,Jonson Bartholomew Fair I iii,"Thou must visit ’hem, as thou wouldst do a tomb, with a torch, or three handfuls of link, flaming hot, and so thou mayst hap to make ’em feel thee, and after, come to inherit according to thy inches."
tail,1610,,Jonson Alchemist II vi,"We’ll e’en draw lots, and he, that fails, shall have / The more in goods, the other has in tail."
chanter-pipe,1865,,"John Anderson, My Jo’ in Rambler’s Flash Songster 24","But ’tis a muckle finer thing, / To see your hurdies fyke; / To see your hurdies fyke, John, / An’ wriggle to and fro; / ’Tis there I like your chaunter pipe – / John Anderson, My Jo."
bow,1676,,J.M. ‘Huntsmans Delight’ in Pepys Ballads (1987) IV 271,"The Keepers they would a hunting go, And under their coats each carried his bow, And all for to shoot the bonny bonny Doe."
prick,1556,,J. Withals Dictionarie in Eng. and Latine ‘Parts of the bodie’ U,"The pricke, virga virilis, membrum genitale. Preputium, est pellicula, in sum mitate penis, que glandem tegit."
cod,1556,,J. Withals Dictionarie in Eng. and Latine ‘Parts of the bodie’ U,"The coddes, scortum [sic]"
roger,1763,,J. Wilkes Essay on Woman title page,"Essay on Woman; By Pego Borewell, Esq; with notes By Rogerus Cunaeus."
pointer,1763,,J. Wilkes Essay on Woman 20,[footnote] But ’tis at Beauty my true Pointer stands.
prick,1763,,J. Wilkes Essay on Woman 19,"Prick, Cunt and Bollocks in Convulsions hurl’d."
ballocks,1763,,J. Wilkes Essay on Woman 19,"Prick, Cunt and Bollocks in Convulsions hurl’d / And now a Hymen burst, and now a world."
stallion,1763,,J. Wilkes Essay on Woman 17,"When the proud Stallion knows whence every Vein / Now throbs with Lust, and now is shrunk again."
pego,1763,,J. Wilkes Essay on Woman 14,"Can thy Pego reach? / Was that great Ocean, that unbounded Sea, / Where Pricks like Whales may sport, fathom’d by Thee?"
twelve inches,1763,,J. Wilkes ‘Universal Prayer’ in Essay on Woman 24,"Save him alike from foolish Pride, / Or impious Discontent; / If greater thickness be denied, / Or thirteen Inches lent."
awl,1673,,J. Wade Vinegar and Mustard B,"He was thrust up his Aul into her blind creek, (with a Pox to her) and when you was prickt, her [i.e. she] was give such a kick upward, that her was threw the fellow out of the saddle all along in the dirt."
shaft,1622,,J. Taylor Whore in Works II 107,[She] Abides the brunt of many a prickshaft shot.
yard,1622,,J. Taylor Whore in Works (1630) II 107,[of a whore] A Yard’s her onely measure.
match,1639,,J. Taylor Juniper Lecture 19,"I will have a Husband that shall alwayes be provided like a Souldier, never not with standing [...] with his Match lighted and cocked bolt upright, and ready to do execution."
prick,1639,,J. Taylor Crabtree Lectures 93,"When I in the Spring ride abroad to buy ware, you can furnish your selfe in lent with pricks to serve you all the year after."
yard,1639,,J. Taylor Crabtree Lectures 48,"A Tayler [...] talks of nothing but his yard, his yard, and is not able to afoord his wife London measure."
nag,1639,,J. Taylor Crabtree Lectures 40,"It will be long enough before thou wilt set up thy Nagge in my Stable, thou wall-ey’d wickednesse."
trinkets,1630,,J. Taylor Bawd in Works II 95,pack: a necessary male for a man to trusse up his trinkets in.
lance,1630,,J. Taylor ‘Sculler’ in Works (1869) III 24,"But haue a care in these hot warres of France, / Least in a pockie heat you spoyle your Lance."
almond,1893,,J. Tabrar [perf. Marie Lloyd] Buy Me Some Almond Rock 🎵,"I shall say to a young man gay / If he treads upon my frock / Randy Pandy, sugardy candy / Buy me some Almond Rock."
tool,1709,,J. Spinke Quackery Unmask’d 14,"A worn-out Tool, ... not bigger than one’s Finger."
cod,1500,,J. Russell Boke of Nuture in Furnivall (E.E.T.S.) 135,"Put not youre handes in youre hosen youre codware* for to clawe (*Codde, of mannys pryute (preuy membris)."
staff,1670,,J. Ray Proverbs 17,The married man must turn his staff into a stake.
John Thomas,1678,,J. Ray Proverbs (2nd edn) 377,"Of effeminate persons. He is John Thomsones man, coutching carle. He wears short hose."
pole,1672,,J. Phillips Maronides (1678) VI 76,"Gave him a look, that through eye-hole / Pierc’d from his brows quite through his Pole."
gingambobs,1672,,J. Phillips Maronides (1678) VI 73,Evadne all in Mulligrubs / For her spruce Ushers gingombobbs.
marrow-bone,1672,,J. Phillips Maronides (1678) VI 37,"For women then, for all their freaks, / Lov’d bellies better than their backs; / [...] / Else Marrow-bones and Brisket-beef / Had been poor toyes for Pluto’s Wife ."
brisket beef,1672,,J. Phillips Maronides (1678) VI 37,"For women then, for all their freaks, / Lov’d bellies better than their backs; / [...] / Else Marrow-bones and Brisket-beef / Had been poor toyes for Pluto’s Wife ."
twist,1672,,J. Phillips Maronides (1678) VI 19,"Though they came out of Jove’s own Twist, / Or from a Goddess engine pist."
pissing place,1672,,J. Phillips Maronides (1678) VI 133,"To this great Luck shall much conduce, / Th’engendering tool of Romulus; / So numerous shall be the Race / Proceeding from his pissing-place ."
dragon,1672,,J. Phillips Maronides (1678) VI 111,"St George he takes a furious course, / The Dragon spits, away flies horse, / Leaving St George upon the grass, / The sport of many a pretty Lass"
maypole,1672,,J. Lacy Old Troop IV i,"Now here be de Queen of Swiveland [...] Den dere be de whore of Babylon, she make great love to de May-pole in de Stran."
fescue,1641,,J. Johnson Academy of Love 99,"The young sparkish Girles would read in Shakespeare day and night, so that they would open the Booke or Tome, and the men with a Fescue in their hands should point to the Verse."
bagpipe,1641,,J. Johnson Academy of Love 88,"The Bag-pipe [...] is a wind instrument, and never playes but when the bag is full."
pudding,1546,,J. Heywood Proverbs II Ch. xi,"For soth (said my frend) this matter maketh bost, / Of diminuation. For here is a myll post / Thwitten to a puddyng pricke so neerely, / That I confesse me discouraged cleerely, / In both my weddyngs."
bag,1546,,J. Heywood Proverbs II Ch. x,"He brought the bottom of the bag cleane out. / His gadyng thus agayne made hir ill content, / But she not so muche as dreamd that all was spent."
giblets,1546,,J. Heywood Proverbs II Ch. iiii,"Set the hares head against the gose jiblet. She is (quoth he) bent to fors you perfors / To know, that the grey mare is the better hors."
bow,1546,,J. Heywood Proverbs I Ch. xi,"Ye have many stryngs to the bowe, for ye know, / Thought I, havyng the bent of your uncles bow, / Can no way bryng your bolt in the butte to stand."
iron,1533,,J. Heywood Play of Weather in Farmer Dramatic Writings (1905) 118,"For with pecking and pecking I have so wrought, / That I have pecked a good pecking-iron to nought."
gear,1533,,J. Heywood Play of Weather in Farmer Dramatic Writings (1905) 118,"So oft have we pecked that our stones wax right thin, / And all our other gear not worth a pin."
spindle,1533,,J. Heywood Play of Weather in Farmer Dramatic Writings (1905) 108,"Our hopper, our extre, our iron spindle, / In this and much more so great is our charge."
tail,1533,,J. Heywood Play of Weather in Farmer Dramatic Writings (1905) 103,My new head shall give my old tail a glister.
root,1533,,J. Heywood Play of Love in Farmer (1905) 176,What pleasures have we in coming together! / Each tap on the ground toward me with her foot / Doth bath in delight my very heart root.
tail,1540,,J. Heywood Four P.P. in Farmer Dramatic Writings (1905) 37,The trimming and pinning up their gear; Specially their fiddling with the tail-pin.
pin,1540,,J. Heywood Four P.P. in Farmer Dramatic Writings (1905) 36,"Great pins she must have, one or other; If she lose one, she will find another."
tackle,1533,,J. Heywood A Merry Play in Farmer Dramatic Writings (1905) 84,"But for your labour, I would that your tackle / Were in a scalding water well sod."
dagger,1533,,J. Haywood A Mery Play n.p.,An homycyde thou art I know well inoughe / For my selfe knew where thou sloughe / A wenche with thy dagger in a couche
ace,1618,,J. Harington Epigrams I No. 79,"Thou with thy Husband do’st play false at Tables. / First, thou so cunningly a Die canst slurre, / To strike an Ace, so dead, it cannot sturre."
tail,1598,,J. Hall Virgidemiarum (1599) Bk IV 68,"The maydens mocke, and call him withered leeke, That with a greene tayle hath an hoary head, And now he would, and now he cannot wed."
cod-piece,1702,,J. Floyer Essay to Prove Cold Bathing 311,"No man was ever made a Cuckold, but from a Deficiency in one of the Pieces, the Head-piece or the Cod-piece."
tackle,1702,,J. Floyer Essay to Prove Cold Bathing 280,"I bid him [...] At night wrap up his Whore-Tackle in a Linnen-Cloath, wet in strong Vinegar and Claret-Wine. [Ibid.] 309: The fault was in the vile and wicked whore-masterly Husband, broke and bankrupt in his Bed-Tackle."
fescue,1710,,J. Dunton Athenianism II 263,"[A] night walker ... half eat with the pox [...] too abominable to be touch’d with any thing but a Pair of Tongs, or a Fescue."
seal,1631,,J. Donne ‘To His Mistris Going to Bed’ in Gardner (2000) 15,"Then where my hand is set, my seal shall be. / Full nakedness! all joys aru due to thee ."
bobstay,1805,,J. Davis Post Captain (1813) 74,"Come, Cassandra [...] let us descend and turn in. If I don’t ease my laniard I shall carry away my bob-stay."
purse,1728,,J. Dalton Narrative of Street-Robberies 27,"They being Lovers of the Sport [...] civilly saluted the Player, wishing his --- and Purse might never fail him."
prick,1728,,J. Dalton Narrative of Street-Robberies 27,"They being Lovers of the Sport [...] civilly saluted the Player, wishing his --- and Purse might never fail him."
wand,1694,,J. Crowne Married Beau II i,"I am for digging where most Treasure is, My Wand will bend that way."
blade,1655,,J. Cotgrave Wits Interpreter 269,"Here six foot deep in his fast sleep / The Lord of Lampasse lyes, / Who his end made with his own blade, / Betwixt his Mistris thighs; / If through that hole to heaven he stole."
pipe,1655,,J. Cotgrave ‘Tobacco’ Wits Interpreter (1671) 228,"She will be ready at your call, And take Tobacco, Pipe, and all [...] Your stopper must be stiff and strong, It must be large and long, Or else she swears you do her wrong, She scorns your weak Tobacco."
phoenix,1655,,J. Cotgrave ‘A Rapture’ Wits Interpreter (1671) 230,The Phoenix too must build his nest.
weapon,1611,,J. Cook Greenes Tu Quoque Scene xvii,"spend: Thoul’t proove an obedient wife: come, let’s undresse. wid.: Will you put up your naked weapon sir? [...] spend: Not till I have some token of your love."
pen,1611,,J. Cook Greenes Tu Quoque Scene xvii,"spend.: Set your hand to this [...] Heere’s pen and incke, you see I come provided. wid.: Give me the penne. spend.: Why, here’s some comfort."
gear,1690,,in Pepys Ballads (1987) V 161,"If bad’s his gear, I’d not have him, if he had ten thousand a year."
hammer,1721,,in Penkethman’s Jests II 75,Good Lad with your Hammer come hither to Morrow.
needle,1720,,in D’Urfey Pills to Purge Melancholy VI 93,"Sometimes I am a Taylor, / And work with thread that’s strong Sir; / I have a fine great Needle, About two handfuls long Sir."
wriggling pole,1719,,in D’Urfey Pills to Purge Melancholy VI 91,"If my Oven be over-hot, I dare not thrust in it Sir; For burning of my Wrigling-Pole."
spicket,1719,,in D’Urfey Pills to Purge Melancholy VI 91,"Sometimes I am a Tapster new, / And skilful in my Trade Sir, / I fill my Pots most duly, / Without deceit or froth Sir: / A Spicket of two Handfuls long, / I use to occupy Sir: / And when I set a Butt abroach, / Then shall no Beer run by Sir."
slaughtering-knife,1719,,in D’Urfey Pills to Purge Melancholy VI 91,"Sometimes I am a Butcher, / And then I feel fat Ware Sir; / And if the Flank he fleshed well, / I take no farther care Sir: / But in I thrust my Slaughtering-Knife, / Up to the Haft with speed Sir; / For all that ever I can do, / I cannot make it bleed Sir."
wriggling pole,1720,,in D’Urfey Pills to Purge Melancholy VI 91,"Sometimes I am a Baker, / An Bake both white and brown Sir; / I have as fine a Wrigling Pole, / As any is all this Town Sir."
rule of three,1720,,in D’Urfey Pills to Purge Melancholy VI 329,"You Dames that are Wed who can make it appear, / That you lose an Estate for want of an Heir; / This Accountant will come with e’er a Fee, / An warrants a Boy by his Rule of Three."
prick,1720,,in D’Urfey Pills to Purge Melancholy VI 266,"At his first denial I fell very sick, / And he said it was all for a touch of his [prick]."
roger,1720,,in D’Urfey Pills to Purge Melancholy VI 201,"Here’s a Health to the Queen, let’s Bumpers take in hand, / And may Prince G—’s Roger grow stiff again and stand."
ferret,1719,,in D’Urfey Pills to Purge Melancholy VI 198,"The Ferret he goes in, through flaggs thick and thin.... The Cunny she shows play, and ... Like a Cat she does spit in his Face."
weapon,1720,,in D’Urfey Pills to Purge Melancholy VI 146,"Who knows no other cunning, / But when she feels it come; / To gripe your Back, if you be slack, / And thrust your Weapon home."
robin,1719,,in D’Urfey Pills to Purge Melancholy V 36,"Then for Robin in the Rushes, she did enquire [...] But he hung down his Head, and he would not come nigh her, [...] He wink’d with one Eye, as if he had been Blind."
spindle,1719,,in D’Urfey Pills to Purge Melancholy V 140,"The spindle it was hardy, and the steanes were they well pickt."
bow,1719,,in D’Urfey Pills to Purge Melancholy IV 93,"To run with his Bow he was not slow, His Fingers were nimble and quick, When he play’d on his Bass, he ravish’d the Lass."
wimble,1719,,in D’Urfey Pills to Purge Melancholy IV 81,"Joan’s a piece for a man to bore, / With his Wimble, you’s no more."
truncheon,1719,,in D’Urfey Pills to Purge Melancholy IV 72,"’Twas the truncheon Mars did use, / A Bed-ward bit which Maidens chuse."
shaft,1719,,in D’Urfey Pills to Purge Melancholy IV 72,"It is a Shaft of Cupid’s cut. ’Twill serve to Rove, to Prick, to Butt; There’s never a Maid, but by her will Will keep it in her Quiver still."
gun,1719,,in D’Urfey Pills to Purge Melancholy IV 72,"It is a Gun that shoots point-blank, / It hits betwixt a Woman’s Flank."
bald-headed hermit,1719,,in D’Urfey Pills to Purge Melancholy IV 72,"’Tis a Fryer with a Bald-Head, / A Staff to beat a Cuckold Dead. [Ibid.] 196: If you will not let black Maggy alone, Beshrew she will take you by th’ Bald-Pate."
shuttle,1719,,in D’Urfey Pills to Purge Melancholy IV 62,"O the Weaver the wicked, wicked Weaver, / That follows a weary Trade; / He never shoots his shuttle right, / But he shoots, but he shoots, but he shoots first at his Maid."
ace,1707,,in D’Urfey Pills to Purge Melancholy IV 323,"To the Tavern we went, / A Curse on the Place; / For her Love was so hot, / It soon fir’d my A—."
lance,1719,,in D’Urfey Pills to Purge Melancholy IV 312,"Pillycock came to my Lady’s Quilt, And there the Whoreson began to Tilt; Had he a Lance, Ay, marry had he."
pillicock,1719,,in D’Urfey Pills to Purge Melancholy IV 311,"So bolt upright and ready to fight, / And Pillycock he lay there all night."
pipe,1719,,in D’Urfey Pills to Purge Melancholy IV 225,"At length I said I’d put my Pipes in Tune: To give a Glister, with that I kiss’d her."
fiddlestick,1719,,in D’Urfey Pills to Purge Melancholy IV 200,"Their Wives are all nasty, and so are their [cunts] But I’ll keep my Fiddle-stick out of their Cases."
iron,1719,,in D’Urfey Pills to Purge Melancholy IV 195,"Six times did his Iron by vigorous heating, / Grow soft in the Forge in a Minute or so."
pudding,1719,,in D’Urfey Pills to Purge Melancholy III 73,"But by the Rowling and Trowling about, / How kindly and sweetly the Marrow flew out / Of his Pudding."
peg,1719,,in D’Urfey Pills to Purge Melancholy III 68,"Th’impatient Bridgroom would not stay, Good Sir, cry they, what Man can play, Till he’s wound up his pegs."
gentleman usher,1719,,in D’Urfey Pills to Purge Melancholy III 6,"Here Damsels are handled like Nymphs in the Bath, / By Gentlemen-Ushers, with Legs like a Lath."
hammer,1719,,in D’Urfey Pills to Purge Melancholy III 52,"Some bring him Basons, some bring him Bowls, / All Wenches pray him to stop up their holes, / Tink goes the hammer, the Skillet and the Scummer. [Ibid.] IV 195: Her Husband she said could scarce raise up his Hammer, His strength and his Tools were worn out."
gear,1719,,in D’Urfey Pills to Purge Melancholy III 127,"But there’s no such Angling as a Wench, / Stark naked in the Water; / [...] / And this I fear hath spoil’d the Gear, / Of many a Jovial Angler."
marrow-pudding,1719,,in D’Urfey Pills to Purge Melancholy II 332,"Desert she knew, she oft had paid, / And some too Marrow Puddings had."
sting,1719,,in D’Urfey Pills to Purge Melancholy II 24,"I hate, she cry’d, a Hector, a Drone without a Sting."
pestle,1719,,in D’Urfey Pills to Purge Melancholy II 237,"A Vision too I had of old, / That thou a Mortar wert of Gold! / Then cou’d I but the Pestle be, / [...] / Oh! how I wou’d pound my Spice in thee."
pintle,1719,,in D’Urfey Pills to Purge Melancholy II 20,"They laid the Girls down and gave each a green Mantle, / While their Breasts and their Bellies went Pintle a Pantle."
pen,1719,,in D’Urfey Pills to Purge Melancholy II 170,No bargain without Writing; In Rapture then clap too your Pen.
key,1719,,in D’Urfey Pills to Purge Melancholy II 130,"[He] Would give his whole Shop, To get pretty Peggy’s good will; To have her stock, So close kept Lock’d, And put in a Key to her Till."
engine,1719,,in D’Urfey Pills to Purge Melancholy II 130,"The Doctor ... That has warm Engines planted, At many a Postern gate."
yard,1719,,in D’Urfey Pills to Purge Melancholy II 112,[A] Draper ... Whose Yard ... Is us’d her Cloth to measure.
stick,1719,,in D‘Urfey Pills to Purge Melancholy IV 94,"His Viol-string burst, her Tuten she Curst, / However she play’d with the Stick."
nature,1704,,in B. Capp When Gossips Meet (2003) 243,"On another occasion, she deposed, he had assaulted her in a stable, pulled up her clothes ‘and did then spend his nature upon my thighs’."
bodkin,1707,,Humours of a Coffee-House 3 Oct. 32,"[He] bid her be gone, or he would run his Bodkin into her Tail."
tail,1707,,Humours of a Coffee-House 10 Sept. 23,How like a Jack a napes a Man must look that has lost his Tail?
rudder,1707,,Humours of a Coffee-House 10 Oct. 34,"I am sorry to see him so very much out of Order. I with Love’s Dragon, that often lurks in the Garden of Venus, has bit him by the Rudder of his Affections."
bridle,1749,,Hist. of the Human Heart 44,"Camillo [...] pushing boldly to pierce the obstructing Hymen, broke the Bridle of his fiery Courser, and was obliged by the extreme Anguish to retreat from the Field of Battle."
nutmegs,1750,,Hist. of Jack Horner 20,"My precious nutmegs doe not wound, For fear I should not live."
tool,1750,,Hist. of Jack Horner 17,She laid one hand upon his tool.
weapon,1730,,Hist. of Col. Francis Charteris 36,"The young Woman, being in no ways daunted, said [...] use a more manly Weapon. That I can soon do, Child, reply’d he, shewing her (as the Song says) what I dare not name."
egg,1729,,Hell upon Earth 42,"[Male whores approach men] with a chuck under the Chin, and O you bold Pullet I’ll break your Eggs."
nag,1787,,Harris’s List of Covent-Garden Ladies 97,"An excellent Field to Graze Inn, which your nag might have the liberty of grazing in a whole night for two guineas."
root,1787,,Harris’s List of Covent-Garden Ladies 93,The pleasing Mount of Venus [...] which twining round the ruby portals of Cupid’s grotto forms a delightful bed for the root of the tree of life.
tube,1787,,Harris’s List of Covent-Garden Ladies 91,"When the vivid tube is rendered inanimate, she never fails to animate it again with new life and vigor."
arbor vitae,1787,,Harris’s List of Covent-Garden Ladies 83,She did not want a second invitation [...] to taste the wonderful Tree of Life.
piece,1787,,Harris’s List of Covent-Garden Ladies 82,"The regions of the Elysian bower are well tufted with the fringe of Nature, and no sportsman will think a guinea an object for the liberty of [...] discharging his piece in so delectable a spot."
blind boy,1787,,Harris’s List of Covent-Garden Ladies 80,"As small but easily stretched passage, whose depth none but the blind boy has liberty to fathom."
coral branch,1787,,Harris’s List of Covent-Garden Ladies 76,She is very fond of a good sprig of coral and cares not how red the tip is.
champion,1788,,Harris’s List of Covent-Garden Ladies 76,"[She will] engage your champion of her ring with a grasp, till he is reduced to bend beneath the powerful squeeze and yield all the metal he has about him."
ploughshare,1788,,Harris’s List of Covent-Garden Ladies 75,"Come then ye followers of Comus, plunge your burning plough shares within the bewitching circle."
ambassador (of love),1788,,Harris’s List of Covent-Garden Ladies 67,[She] is very strict in examining the ambassador of love e’er she receives his tribute.
coral branch,1787,,Harris’s List of Covent-Garden Ladies 59,A pair of dark blue eyes [...] invite the blind coral headed boy into her cloister of teeming joys
flute,1788,,Harris’s List of Covent-Garden Ladies 53,As neat a leg and foot as ever beat time to the silent flute.
sensitive plant,1788,,Harris’s List of Covent-Garden Ladies 48,She loves to restore the drooping plant
blind boy,1788,,Harris’s List of Covent-Garden Ladies 46,"I’ll expose every part / Of my brown apple cart, / Ad stifle , quite stifle, the boy in its charms ."
hanger,1788,,Harris’s List of Covent-Garden Ladies 32,"The stoutest man cannot stand long before her; many a fine weapon has she made a mere hanger, and the most stubborn steel has melted in her sheath."
bag,1789,,Harris’s List of Covent-Garden Ladies 30,"Her wanton lecherous hand, with eager but gentle compressure sqeezes the circular balls, in nature’s treasure bag."
club,1787,,Harris’s List of Covent-Garden Ladies 20,Seiz’d on his club and made it dwindle / T’a feeble distaff and a spindle.
pin,1789,,Harris’s List of Covent-Garden Ladies 17,The use of the needle first fired this lady’s imagination with the use of a certain pin.
oboe,1787,,Harris’s List of Covent-Garden Ladies 16,"[She] having heard, seen, and perhaps felt Mr P—rks hautboy play made no preference where it seemed so justly due"
member,1787,,Harris’s List of Covent-Garden Ladies 127,"Each portal lip, which pouting out with uncontroulable sensibility, encloses the member of all its joys."
sensitive plant,1788,,Harris’s List of Covent-Garden Ladies 124,"[She] particularly likes Adam’s apple-tree, sensitive plant, stich-wort, nutmegs and such valuable productions."
nutmegs,1788,,Harris’s List of Covent-Garden Ladies 124,"[She] particularly likes Adam’s apple-tree, sensitive plant, stich-wort, nutmegs and such valuable productions."
Adam's apple-tree,1788,,Harris’s List of Covent-Garden Ladies 124,"[She] particularly likes Adam’s apple-tree, sensitive plant, stich-wort, nutmegs and such valuable productions."
thing,1787,,Harris’s List of Covent-Garden Ladies 123,She never takes a thing in hand [...] but her antagonist is sure to shrink from his purpose.
maypole,1788,,Harris’s List of Covent-Garden Ladies 123,"In regard to price she has one fixed rule, she always measures a gentleman’s may-pole by a standard of nine inches, and expects a guinea for every inch it is short of full measure."
choak pear,1788,,Harris’s List of Covent-Garden Ladies 113,"Nature called so loud for its favorite choak-pear, that she resolved to throw herself into the arms of the vigorous youth."
fiddlestick,1788,,Harris’s List of Covent-Garden Ladies 105,"[He] won her first by virtue of his fiddle-stick, and has [...] kept her in very good tune."
jockum,1566,,Harman Caveat for Common Cursetours in Viles & Furnivall (1907) 87,"There was a proud Patrico and a nosegent, he tooke his Jockam in his famble, and a wapping he went."
toy,1599,,H. Porter Two Angry Women of Abington G3,"ms. bar.: I would to God that I could find her, I woulde keepe her from her loues toys yet. mal.: So you might, if your daughter had no wit."
ferret,1599,,H. Porter Two Angry Women of Abington F,"And they put ferrets in the holes, fie, fie, And they go vp and downe where connies lye."
ballocks,1615,,H. Parrot Epigrams and satyrs n.p.,"Who lisping chides him with words finicall, / Thirra remoue your Ballocks from my Stall."
tool,1647,,H. Nevile The Ladies’ Parliament n.p.,"Stamford she is for the game, / She saies her husband is to blame, / For her part she loves a foole, / If he hath a good toole ."
nag,1650,,H. Nevile Newes from the New Exchange 3,"[Lady Carlisle] pines away for want of fresh-Cod, and knoweth not which way to lead her Nags to water, since the State hath cut off all her pipes of intelligence."
pintle,1650,,H. Nevile Newes from the New Exchange 18,"Enter Mistris Cambell, with a piss-pot on her head, a pipe in her mouth, & a pintle in her Tail."
charms,1765,,H. Howard Choice Spirits Museum 61,"Alas! he could not play at Venus’ Game [...] Charms superior, gentle Signior On the British Stage I’ll find."
tackle,1765,,H. Howard Choice Spirits Museum 34,"Ah, no! quoth the Blade, see my Tackle’s past using, / But tomorrow I’ll come."
inch,1765,,H. Howard Choice Spirits Museum 33,"Never stand for an Inch, quoth the Fair, you are right, Sir, Now bait well your Hook, and throw in with a Glee."
lance,1640,,H. Glapthorne Wit in a Constable Act IV,"Which of you is the valiant Rosicleer, Dares breake his Launce on me."
pin,1635,,H. Glapthorne Lady Mother I i,Her Belly a soft Cushion where no sinner But her true love must dare stick a pin in her.
weapon,1635,,H. Glapthorne Hollander V i,"Yonder is a man would ravish me whether I would or no, [...] I thinke he has puld out the longest naked weapon, O there he is."
member,1639,,H. Glapthorne Argalus I ii:,"The Nymphs are all stark and mad for it, Because they think the rest of my members proportionable."
jockum,1592,,Groundworke of Conny-catching,"There was a proud Patrico and a nosegent, he tooke his Jockam in his famble, and a wapping he went."
whirligigs,1785,,Grose Classical Dict. of the Vulgar Tongue.,
thingummies,1785,,Grose Classical Dict. of the Vulgar Tongue.,
thimgumabobs,1785,,Grose Classical Dict. of the Vulgar Tongue.,
roger,1785,,Grose Classical Dict. of the Vulgar Tongue.,
plug-tail,1785,,Grose Classical Dict. of the Vulgar Tongue.,
nutmegs,1785,,Grose Classical Dict. of the Vulgar Tongue.,
man Thomas,1785,,Grose Classical Dict. of the Vulgar Tongue.,
lobcock,1785,,Grose Classical Dict. of the Vulgar Tongue.,
tallywags,1785,,Grose Classical Dict. of the Vulgar Tongue n.p.,"Tallywags, or Tarrywags, a man’s testicles."
